,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,96,96,0,0,0,0,0,0,0,0
1,96,96,0,0,0,0,0,0,0,0
2,96,96,0,0,0,0,0,0,0,0
3,96,96,0,0,0,0,0,0,0,0
4,96,96,0,0,0,0,0,0,0,0
5,96,96,0,0,0,0,0,0,0,0
6,96,96,0,0,0,0,0,0,0,0
7,96,96,0,0,0,0,0,0,0,0
8,96,96,0,0,0,0,0,0,0,0
9,96,96,0,0,0,0,0,0,0,0
10,96,96,0,0,0,0,0,0,0,0
11,96,96,0,0,0,0,0,0,0,0
12,96,96,0,0,0,0,0,0,0,0
13,96,96,0,0,0,0,0,0,0,0
14,96,96,0,0,0,0,0,0,0,0
15,96,96,0,0,0,0,0,0,0,0
16,96,96,0,0,0,0,0,0,0,0
17,96,96,0,0,0,0,0,0,0,0
18,96,96,0,0,0,0,0,0,0,0
19,96,96,0,0,0,0,0,0,0,0
20,96,96,0,0,0,0,0,0,0,0
21,96,96,0,0,0,0,0,0,0,0
22,96,96,0,0,0,0,0,0,0,0
23,96,96,0,0,0,0,0,0,0,0
24,96,96,0,0,0,0,0,0,0,0
25,96,96,0,0,0,0,0,0,0,0
26,96,96,0,0,0,0,0,0,0,0
27,96,96,0,0,0,0,0,0,0,0
28,96,96,0,0,0,0,0,0,0,0
29,96,96,0,0,0,0,0,0,0,0
30,96,96,0,0,0,0,0,0,0,0
31,96,96,0,0,0,0,0,0,0,0
32,96,96,0,0,0,0,0,0,0,0
33,96,96,0,0,0,0,0,0,0,0
34,96,96,0,0,0,0,0,0,0,0
35,96,96,0,0,0,0,0,0,0,0
36,96,96,0,0,0,0,0,0,0,0
37,96,96,0,0,0,0,0,0,0,0
38,96,96,0,0,0,0,0,0,0,0
39,96,96,0,0,0,0,0,0,0,0
40,96,96,0,0,0,0,0,0,0,0
41,96,96,0,0,0,0,0,0,0,0
42,96,96,0,0,0,0,0,0,0,0
43,96,96,0,0,0,0,0,0,0,0
44,96,96,0,0,0,0,0,0,0,0
45,96,96,0,0,0,0,0,0,0,0
46,96,96,0,0,0,0,0,0,0,0
47,96,96,0,0,0,0,0,0,0,0
48,96,96,0,0,0,0,0,0,0,0
49,96,96,0,0,0,0,0,0,0,0
50,96,96,0,0,0,0,0,0,0,0
51,96,96,0,0,0,0,0,0,0,0
52,96,96,0,0,0,0,0,0,0,0
53,96,96,0,0,0,0,0,0,0,0
54,96,96,0,0,0,0,0,0,0,0
55,96,96,0,0,0,0,0,0,0,0
56,96,96,0,0,0,0,0,0,0,0
57,96,96,0,0,0,0,0,0,0,0
58,96,96,0,0,0,0,0,0,0,0
59,96,96,0,0,0,0,0,0,0,0
60,0,0,96,0,0,0,96,0,0,0
61,0,0,0,96,0,0,0,0,96,0
62,0,0,96,96,0,0,0,0,0,0
63,0,0,0,96,0,0,0,0,96,0
64,0,0,96,0,0,0,0,0,0,96
65,0,0,96,0,0,0,96,0,0,0
66,0,0,0,0,0,0,96,96,0,0
67,0,0,0,0,96,0,0,96,0,0
68,0,0,0,0,0,0,0,96,96,0
69,0,0,0,0,0,0,0,96,0,96
70,0,0,96,0,0,0,0,96,0,0
71,0,0,0,96,0,0,0,0,0,96
72,0,0,0,0,96,0,0,0,96,0
73,0,0,0,96,0,0,96,0,0,0
74,0,0,0,0,96,0,0,0,0,96
75,0,0,0,0,96,0,0,0,96,0
76,0,0,0,0,0,0,96,0,0,96
77,0,0,96,0,0,0,0,96,0,0
78,0,0,0,0,96,96,0,0,0,0
79,0,0,0,0,96,0,0,0,0,96
80,0,0,0,0,96,0,0,0,0,96
81,0,0,0,0,0,0,96,0,0,96
82,0,0,0,0,0,0,96,0,0,96
83,0,0,0,0,0,96,96,0,0,0
84,0,0,96,0,0,0,96,0,0,0
85,0,0,0,0,0,96,0,0,0,96
86,0,0,0,0,0,0,96,0,0,96
87,0,0,0,0,0,96,0,96,0,0
88,0,0,96,0,0,0,0,0,96,0
89,0,0,0,0,0,0,0,0,96,96
90,0,0,0,0,96,0,96,0,0,0
91,0,0,0,0,96,0,0,0,96,0
92,0,0,0,0,96,0,96,0,0,0
93,0,0,0,0,96,0,0,96,0,0
94,0,0,0,0,96,0,0,0,0,96
95,0,0,96,0,0,0,0,0,96,0
96,0,0,0,0,96,0,0,0,96,0
97,0,0,0,0,96,0,0,0,96,0
98,0,0,0,0,0,0,0,96,96,0
99,0,0,0,0,0,0,96,0,0,96
,5760,5760,864,480,1344,384,1248,864,1152,1344
